kolom_1,pdf_1,omschrijving_1,test_kolom_1,kolom_2,pdf_2,omschrijving_2,test_kolom_2,kolom_3,pdf_3,omschrijving_3,test_kolom_3
.,begin nummer,350504067240378013,,.,begin nummer,350504067240381013,,.,begin nummer,350504067240384014,
.,eind nummer,350504067240381006,,.,eind nummer,350504067240384007,,.,eind nummer,350504067240387008,
.,rol nummer,rol_130,,.,rol nummer,rol_131,,.,rol nummer,rol_132,
.,begin nummer,350504067240387015,,.,begin nummer,350504067240390015,,.,begin nummer,350504067240393016,
.,eind nummer,350504067240390008,,.,eind nummer,350504067240393009,,.,eind nummer,350504067240396000,
.,rol nummer,rol_133,,.,rol nummer,rol_134,,.,rol nummer,rol_135,
.,begin nummer,350504067240396017,,.,begin nummer,350504067240399018,,.,begin nummer,350504067240402015,
.,eind nummer,350504067240399001,,.,eind nummer,350504067240402008,,.,eind nummer,350504067240405009,
.,rol nummer,rol_136,,.,rol nummer,rol_137,,.,rol nummer,rol_138,
.,begin nummer,350504067240405016,,.,begin nummer,350504067240408017,,.,begin nummer,350504067240411017,
.,eind nummer,350504067240408000,,.,eind nummer,350504067240411000,,.,eind nummer,350504067240414001,
.,rol nummer,rol_139,,.,rol nummer,rol_140,,.,rol nummer,rol_141,
.,begin nummer,350504067240414018,,.,begin nummer,350504067240417019,,.,begin nummer,350504067240420019,
.,eind nummer,350504067240417002,,.,eind nummer,350504067240420002,,.,eind nummer,350504067240423003,
.,rol nummer,rol_142,,.,rol nummer,rol_143,,.,rol nummer,rol_144,
.,begin nummer,350504067240423010,,.,begin nummer,350504067240426011,,.,begin nummer,350504067240429012,
.,eind nummer,350504067240426004,,.,eind nummer,350504067240429005,,.,eind nummer,350504067240432005,
.,rol nummer,rol_145,,.,rol nummer,rol_146,,.,rol nummer,rol_147,
.,begin nummer,350504067240432012,,.,begin nummer,350504067240435013,,.,begin nummer,350504067240438014,
.,eind nummer,350504067240435006,,.,eind nummer,350504067240438007,,.,eind nummer,350504067240441007,
.,rol nummer,rol_148,,.,rol nummer,rol_149,,.,rol nummer,rol_150,
.,begin nummer,350504067240441014,,.,begin nummer,350504067240444015,,.,begin nummer,350504067240447016,
.,eind nummer,350504067240444008,,.,eind nummer,350504067240447009,,.,eind nummer,350504067240450009,
.,rol nummer,rol_151,,.,rol nummer,rol_152,,.,rol nummer,rol_153,
.,begin nummer,350504067240450016,,.,begin nummer,350504067240453017,,.,begin nummer,350504067240456018,
.,eind nummer,350504067240453000,,.,eind nummer,350504067240456001,,.,eind nummer,350504067240459002,
.,rol nummer,rol_154,,.,rol nummer,rol_155,,.,rol nummer,rol_156,
.,begin nummer,350504067240459019,,.,begin nummer,350504067240462019,,.,begin nummer,350504067240465010,
.,eind nummer,350504067240462002,,.,eind nummer,350504067240465003,,.,eind nummer,350504067240468004,
.,rol nummer,rol_157,,.,rol nummer,rol_158,,.,rol nummer,rol_159,
.,begin nummer,350504067240468011,,.,begin nummer,350504067240471011,,.,begin nummer,350504067240474012,
.,eind nummer,350504067240471004,,.,eind nummer,350504067240474005,,.,eind nummer,350504067240477006,
.,rol nummer,rol_160,,.,rol nummer,rol_161,,.,rol nummer,rol_162,
.,begin nummer,350504067240477013,,.,begin nummer,350504067240480013,,.,begin nummer,350504067240483014,
.,eind nummer,350504067240480006,,.,eind nummer,350504067240483007,,.,eind nummer,350504067240486008,
.,rol nummer,rol_163,,.,rol nummer,rol_164,,.,rol nummer,rol_165,
.,begin nummer,350504067240486015,,.,begin nummer,350504067240489016,,.,begin nummer,350504067240492016,
.,eind nummer,350504067240489009,,.,eind nummer,350504067240492009,,.,eind nummer,350504067240495000,
.,rol nummer,rol_166,,.,rol nummer,rol_167,,.,rol nummer,rol_168,
.,begin nummer,350504067240495017,,.,begin nummer,350504067240498018,,.,begin nummer,350504067240501015,
.,eind nummer,350504067240498001,,.,eind nummer,350504067240501008,,.,eind nummer,350504067240504009,
.,rol nummer,rol_169,,.,rol nummer,rol_170,,.,rol nummer,rol_171,
.,begin nummer,350504067240504016,,.,begin nummer,350504067240507017,,.,begin nummer,350504067240510017,
.,eind nummer,350504067240507000,,.,eind nummer,350504067240510000,,.,eind nummer,350504067240513001,
